Prog,Lit,Exact,Time
218,~a_8,"[0,0951-0,1619]",24.77
219,a_5,"[1,0000-1,0000]",9.97
219,~a_8,"[0,0047-0,0047]",10.15
220,d_15,"[1,0000-1,0000]",57.63
220,a_8,"[0,9931-1,0000]",60.09
220,a_7,"[0,0000-0,0000]",60.86
221,d_9,"[1,0000-1,0000]",26.83
221,~a_8,"[0,1595-0,3241]",27.70
222,~d_16,"[1,0000-1,0000]",15.04
222,~a_8,"[0,0000-0,0000]",15.52
223,~a_2,"[1,0000-1,0000]",8.71
224,a_6,"[1,0000-1,0000]",0.70
224,a_7,"[1,0000-1,0000]",0.65
225,d_17,"[1,0000-1,0000]",22.53
225,a_6,"[0,9919-1,0000]",22.48
225,a_7,"[0,9660-0,9966]",23.81
226,~a_2,"[0,9926-1,0000]",56.02
226,a_5,"[1,0000-1,0000]",56.92
226,a_7,"[0,9903-1,0000]",57.26
227,a_7,"[0,0000--0,0000]",26.15
229,~d_16,"[1,0000-1,0000]",20.26
229,a_8,"[0,8726-1,0000]",20.67
229,~a_7,"[0,0005-0,0007]",20.93
230,d_14,"[1,0000-1,0000]",41.03
231,d_10,"[0,9095-1,0000]",35.36
231,~a_9,"[0,0525-0,0883]",35.60
232,a_4,"[1,0000-1,0000]",31.31
233,d_17,"[0,9804-1,0000]",21.95
233,a_7,"[1,0000-1,0000]",23.54
234,~d_15,"[1,0000-1,0000]",5.80
234,~a_6,"[1,0000-1,0000]",5.98
235,d_11,"[1,0000-1,0000]",13.67
235,a_7,"[0,2381-0,2381]",14.06
236,~d_10,"[1,0000-1,0000]",27.23
236,a_7,"[0,0067-0,0067]",28.73
236,~a_7,"[0,9933-0,9933]",28.02
237,a_8,"[0,9107-1,0000]",7.41
237,~a_7,"[0,9035-1,0000]",7.18
238,d_11,"[1,0000-1,0000]",5.46
238,~a_8,"[0,0458-0,1082]",5.62
239,~d_12,"[1,0000-1,0000]",13.22
240,d_13,"[0,8293-1,0000]",5.79
240,~a_9,"[0,8628-0,8628]",6.32
240,a_9,"[0,1372-0,1372]",6.16
241,~a_2,"[1,0000-1,0000]",11.56
241,~a_5,"[1,0000-1,0000]",11.45
241,a_7,"[0,1608-0,1668]",11.73
242,d_10,"[0,9913-1,0000]",53.16
242,~a_7,"[0,7816-0,7889]",53.88
242,a_8,"[0,9757-1,0000]",55.09
244,~a_8,"[0,9674-0,9720]",8.36
244,a_7,"[0,8548-0,8582]",8.16
245,d_15,"[1,0000-1,0000]",10.97
245,a_6,"[0,9447-1,0000]",10.95
245,a_8,"[0,9314-0,9902]",11.16
246,~a_6,"[1,0000-1,0000]",29.70
247,d_17,"[1,0000-1,0000]",9.87
247,a_5,"[0,9224-1,0000]",9.85
247,a_9,"[0,8616-0,9392]",10.28
248,d_14,"[1,0000-1,0000]",9.35
248,~a_5,"[0,8165-1,0000]",9.48
248,~a_8,"[0,0000-0,0004]",9.74
249,~a_8,"[1,0000-1,0000]",17.04
250,~a_1,"[1,0000-1,0000]",1.95
250,a_5,"[1,0000-1,0000]",1.88
250,~a_9,"[0,0149-0,0268]",2.15
251,d_14,"[0,9909-1,0000]",14.54
251,~a_6,"[0,9201-1,0000]",14.33
251,~a_7,"[0,9171-0,9971]",14.79
252,d_10,"[0,9529-1,0000]",33.12
253,~a_7,"[0,9989-0,9989]",29.90
254,d_10,"[1,0000-1,0000]",16.23
254,~a_7,"[0,0861-0,1698]",16.39
254,a_9,"[0,0304-0,0304]",16.83
255,d_16,"[0,9158-1,0000]",13.51
255,a_5,"[1,0000-1,0000]",13.41
255,~a_7,"[0,0691-0,0691]",13.72
257,~d_10,"[0,8917-1,0000]",9.17
257,~a_7,"[0,0086-0,0086]",9.52
258,~d_19,"[0,9363-1,0000]",28.12
259,d_16,"[1,0000-1,0000]",30.62
260,d_15,"[0,9916-1,0000]",19.87
260,a_6,"[1,0000-1,0000]",19.82
260,a_9,"[0,9186-0,9186]",20.55
261,~a_8,"[0,0590-0,1243]",3.28
261,~a_7,"[0,7483-0,8137]",3.39
262,d_11,"[0,9817-1,0000]",9.22
262,a_7,"[0,0000-0,0000]",10.18
265,a_4,"[0,9802-1,0000]",4.56
265,~a_7,"[0,0092-0,0094]",4.81
265,a_8,"[0,0000-0,0438]",5.12
266,~d_16,"[1,0000-1,0000]",13.61
266,a_5,"[1,0000-1,0000]",13.68
267,d_14,"[1,0000-1,0000]",5.56
267,a_8,"[0,9931-0,9931]",6.02
267,~a_7,"[0,9464-0,9464]",5.90
268,a_4,"[0,8474-1,0000]",16.02
268,a_5,"[0,9990-1,0000]",16.18
268,a_8,"[0,9496-0,9496]",16.98
269,~a_7,"[0,8864-0,8864]",14.28
270,~a_0,"[0,9118-1,0000]",6.30
270,a_7,"[1,0000-1,0000]",6.29
271,a_1,"[1,0000-1,0000]",27.76
271,a_8,"[0,0479-0,1444]",29.38
271,~a_8,"[0,8556-0,9521]",29.32
272,d_13,"[1,0000-1,0000]",10.77
272,a_5,"[0,7745-1,0000]",10.88
272,a_8,"[0,9865-1,0000]",11.16
273,d_16,"[1,0000-1,0000]",4.69
273,~a_8,"[0,0134-0,0584]",4.80
274,a_8,"[0,8014-1,0000]",16.37
274,~a_6,"[1,0000-1,0000]",16.37
274,a_7,"[0,0219-0,2205]",16.75
275,a_9,"[0,9842-1,0000]",50.37
275,~a_7,"[0,7284-0,9984]",51.51
275,~a_8,"[0,0005-0,0163]",51.27
276,d_17,"[0,9436-1,0000]",20.05
276,a_6,"[0,7901-1,0000]",20.14
276,a_7,"[0,7207-0,9129]",20.67
277,a_1,"[1,0000-1,0000]",2.25
277,a_8,"[0,8267-0,8480]",2.36
278,d_17,"[1,0000-1,0000]",10.47
278,~a_8,"[0,1490-0,1490]",11.06
278,a_7,"[0,0032-0,0688]",12.06
279,~a_4,"[0,9154-1,0000]",67.33
279,a_6,"[1,0000-1,0000]",67.42
279,a_8,"[0,9999-1,0000]",70.73
280,d_18,"[0,9215-1,0000]",29.50
280,~a_7,"[1,0000-1,0000]",30.08
281,a_0,"[1,0000-1,0000]",5.66
281,a_9,"[0,9559-1,0000]",5.74
281,~a_9,"[0,0000-0,0441]",5.81
282,a_0,"[1,0000-1,0000]",26.05
282,a_6,"[1,0000-1,0000]",26.31
283,~d_12,"[1,0000-1,0000]",74.22
283,a_8,"[0,9557-0,9926]",78.88
283,~a_8,"[0,0074-0,0443]",78.70
284,a_2,"[0,9908-1,0000]",15.30
285,a_0,"[1,0000-1,0000]",39.65
286,~a_2,"[0,9400-1,0000]",8.10
286,~a_8,"[0,8524-0,8605]",8.37
286,a_7,"[0,0981-0,1499]",8.40
287,d_14,"[1,0000-1,0000]",11.11
287,a_8,"[0,0177-0,0177]",11.91
