Prog,Lit,Intervalo,Metric,Time,Mass
272,d_13,"[0,0049-1,0000]",0.0049,0.66,0.0049
272,a_5,"[0,0048-1,0000]",0.0063,0.67,0.0049
272,a_8,"[0,0000-1,0000]",0.0000,0.71,0.0049
273,d_16,"[0,0132-1,0000]",0.0132,0.48,0.0132
273,~a_8,"[0,0005-0,9873]",0.0139,0.45,0.0132
274,a_8,"[0,0686-1,0000]",0.0856,1.53,0.0697
274,~a_6,"[0,0697-1,0000]",0.0697,1.58,0.0697
274,a_7,"[0,0000-0,9314]",0.0856,1.62,0.0697
275,a_9,"[0,0007-1,0000]",0.0008,4.35,0.0013
275,~a_7,"[0,0009-1,0000]",0.0012,4.42,0.0013
275,~a_8,"[0,0000-0,9993]",0.0008,4.47,0.0013
276,d_17,"[0,0190-1,0000]",0.0201,1.44,0.0190
276,a_6,"[0,0166-1,0000]",0.0210,1.51,0.0190
276,a_7,"[0,0176-1,0000]",0.0218,1.49,0.0190
277,a_1,"[0,0000-1,0000]",0.0000,0.17,0.0000
277,a_8,"[0,0000-1,0000]",0.0000,0.18,0.0000
278,d_17,"[0,0095-1,0000]",0.0095,0.95,0.0095
278,~a_8,"[0,0003-0,9908]",0.0095,1.07,0.0095
278,a_7,"[0,0000-0,9922]",0.0084,1.18,0.0095
279,~a_4,"[0,0057-1,0000]",0.0062,6.07,0.0187
279,a_6,"[0,0187-1,0000]",0.0187,5.90,0.0187
279,a_8,"[0,0186-1,0000]",0.0186,6.48,0.0187
280,d_18,"[0,0029-1,0000]",0.0031,2.61,0.0047
280,~a_7,"[0,0047-1,0000]",0.0047,2.75,0.0047
281,a_0,"[0,0114-1,0000]",0.0114,0.46,0.0114
281,a_9,"[0,0114-1,0000]",0.0119,0.53,0.0114
281,~a_9,"[0,0000-0,9886]",0.0119,0.50,0.0114
282,a_0,"[0,0000-1,0000]",0.0000,2.34,0.0000
282,a_6,"[0,0000-1,0000]",0.0000,2.45,0.0000
283,~d_12,"[0,0465-1,0000]",0.0465,6.50,0.0465
283,a_8,"[0,0463-0,9999]",0.0482,6.55,0.0465
283,~a_8,"[0,0001-0,9537]",0.0482,6.76,0.0465
284,a_2,"[0,0078-1,0000]",0.0078,1.28,0.0079
